id,timestamp,datetime,marketId,side,action,price,size,cost,fairValue,edge,edgePct,btcPrice,strike,timeRemainingMin
trade_1,1766090768000,2025-12-18T20:46:08.000Z,0x52ed3bffadf83c,YES,BUY,0.4900,10,4.9000,0.6417,0.1517,15.17%,85057.92,84967.73,13.9
trade_2,1766093599000,2025-12-18T21:33:19.000Z,0x8da591c9e87610,YES,BUY,0.6200,10,6.2000,0.8434,0.2234,22.34%,85699.15,85411.97,11.7
trade_3,1766094369000,2025-12-18T21:46:09.000Z,0x019400f040552e,YES,BUY,0.6400,10,6.4000,0.8311,0.1911,19.11%,85561.43,85249.39,13.8
trade_4,1766096230000,2025-12-18T22:17:10.000Z,0x88f999056e9fdc,YES,BUY,0.5400,10,5.4000,0.7057,0.1657,16.57%,85453.94,85335.44,12.8
trade_5,1766096589000,2025-12-18T22:23:09.000Z,0x88f999056e9fdc,YES,BUY,0.4900,10,4.9000,0.6405,0.1505,15.05%,85389.99,85335.44,6.8
trade_6,1766096771000,2025-12-18T22:26:11.000Z,0x88f999056e9fdc,YES,BUY,0.2600,10,2.6000,0.4428,0.1828,18.28%,85320.31,85335.44,3.8
trade_7,1766096839000,2025-12-18T22:27:19.000Z,0x88f999056e9fdc,YES,BUY,0.2200,10,2.2000,0.8208,0.6008,60.08%,85437.18,85335.44,2.7
trade_8,1766097011000,2025-12-18T22:30:11.000Z,0x9430688c7e5890,YES,BUY,0.5500,10,5.5000,0.7537,0.2037,20.37%,85623.47,85452.87,14.8
trade_9,1766097128000,2025-12-18T22:32:08.000Z,0x9430688c7e5890,YES,BUY,0.6400,10,6.4000,0.8156,0.1756,17.56%,85665.35,85452.87,12.9
trade_10,1766097433000,2025-12-18T22:37:13.000Z,0x9430688c7e5890,YES,BUY,0.6900,10,6.9000,0.8998,0.2098,20.98%,85715.20,85452.87,7.8
trade_11,1766099831000,2025-12-18T23:17:11.000Z,0x95a900e1932461,YES,BUY,0.3000,10,3.0000,0.4514,0.1514,15.14%,85553.45,85572.85,12.8
trade_12,1766104627000,2025-12-19T00:37:07.000Z,0xb8eb698406edd0,YES,BUY,0.2800,10,2.8000,0.4604,0.1804,18.04%,85362.77,85372.35,7.9
trade_13,1766104687000,2025-12-19T00:38:07.000Z,0xb8eb698406edd0,YES,BUY,0.3200,10,3.2000,0.6990,0.3790,37.90%,85426.66,85372.35,6.9
trade_14,1766104807000,2025-12-19T00:40:07.000Z,0xb8eb698406edd0,NO,BUY,0.5600,10,5.6000,0.7210,0.1610,16.10%,85319.99,85372.35,4.9
trade_15,1766109068000,2025-12-19T01:51:08.000Z,0x2d62107b52fe71,YES,BUY,0.2500,10,2.5000,0.4936,0.2436,24.36%,85286.88,85288.59,8.9
trade_16,1766109129000,2025-12-19T01:52:09.000Z,0x2d62107b52fe71,YES,BUY,0.3800,10,3.8000,0.5703,0.1903,19.03%,85308.87,85288.59,7.8
trade_17,1766109188000,2025-12-19T01:53:08.000Z,0x2d62107b52fe71,YES,BUY,0.4600,10,4.6000,0.7592,0.2992,29.92%,85375.99,85288.59,6.9
trade_18,1766109429000,2025-12-19T01:57:09.000Z,0x2d62107b52fe71,YES,BUY,0.6600,10,6.6000,0.8855,0.2255,22.55%,85399.96,85288.59,2.9
trade_19,1766110091000,2025-12-19T02:08:11.000Z,0x41a5ce73ab3199,YES,BUY,0.2700,10,2.7000,0.5545,0.2845,28.45%,85293.72,85279.76,6.8
trade_20,1766110331000,2025-12-19T02:12:11.000Z,0x41a5ce73ab3199,YES,BUY,0.0600,10,0.6000,0.5153,0.4553,45.53%,85282.21,85279.76,2.8
trade_21,1766110391000,2025-12-19T02:13:11.000Z,0x41a5ce73ab3199,YES,BUY,0.2200,10,2.2000,0.6079,0.3879,38.79%,85294.40,85279.76,1.8
trade_22,1766111470000,2025-12-19T02:31:10.000Z,0xcfc42653a68f30,YES,BUY,0.4600,10,4.6000,0.6252,0.1652,16.52%,85516.80,85471.76,13.8
trade_23,1766111710000,2025-12-19T02:35:10.000Z,0xcfc42653a68f30,YES,BUY,0.3500,10,3.5000,0.5150,0.1650,16.50%,85476.00,85471.76,9.8
trade_24,1766111949000,2025-12-19T02:39:09.000Z,0xcfc42653a68f30,YES,BUY,0.2000,10,2.0000,0.3721,0.1721,17.21%,85443.08,85471.76,5.8
trade_25,1766112012000,2025-12-19T02:40:12.000Z,0xcfc42653a68f30,YES,BUY,0.2200,10,2.2000,0.5754,0.3554,35.54%,85486.51,85471.76,4.8
trade_26,1766112069000,2025-12-19T02:41:09.000Z,0xcfc42653a68f30,YES,BUY,0.3400,10,3.4000,0.7251,0.3851,38.51%,85518.05,85471.76,3.9
trade_27,1766112129000,2025-12-19T02:42:09.000Z,0xcfc42653a68f30,YES,BUY,0.6700,10,6.7000,0.9006,0.2306,23.06%,85577.38,85471.76,2.9
trade_28,1766113266000,2025-12-19T03:01:06.000Z,0xa37b979447eb9b,YES,BUY,0.4500,10,4.5000,0.7252,0.2752,27.52%,85692.34,85595.78,13.9
trade_29,1766113327000,2025-12-19T03:02:07.000Z,0xa37b979447eb9b,YES,BUY,0.6700,10,6.7000,0.8852,0.2152,21.52%,85820.72,85595.78,12.9
trade_30,1766114471000,2025-12-19T03:21:11.000Z,0xe1e6cf9882fb31,YES,BUY,0.1300,10,1.3000,0.3208,0.1908,19.08%,86224.04,86311.51,8.8
trade_31,1766114531000,2025-12-19T03:22:11.000Z,0xe1e6cf9882fb31,YES,BUY,0.2800,10,2.8000,0.5628,0.2828,28.28%,86337.68,86311.51,7.8
trade_32,1766114591000,2025-12-19T03:23:11.000Z,0xe1e6cf9882fb31,YES,BUY,0.4600,10,4.6000,0.8308,0.3708,37.08%,86497.32,86311.51,6.8
trade_33,1766114713000,2025-12-19T03:25:13.000Z,0xe1e6cf9882fb31,YES,BUY,0.8000,10,8.0000,0.9678,0.1678,16.78%,86768.22,86311.51,4.8
trade_34,1766115008000,2025-12-19T03:30:08.000Z,0xf4b2a8d3588f0e,YES,BUY,0.5000,10,5.0000,0.7995,0.2995,29.95%,87336.43,87075.35,14.9
trade_35,1766115067000,2025-12-19T03:31:07.000Z,0xf4b2a8d3588f0e,YES,BUY,0.7100,10,7.1000,0.8627,0.1527,15.27%,87428.57,87075.35,13.9
trade_36,1766115307000,2025-12-19T03:35:07.000Z,0xf4b2a8d3588f0e,NO,BUY,0.5100,10,5.1000,0.6628,0.1528,15.28%,86971.74,87075.35,9.9
trade_37,1766115487000,2025-12-19T03:38:07.000Z,0xf4b2a8d3588f0e,YES,BUY,0.1900,10,1.9000,0.3456,0.1556,15.56%,86990.09,87075.35,6.9
trade_38,1766115607000,2025-12-19T03:40:07.000Z,0xf4b2a8d3588f0e,YES,BUY,0.3000,10,3.0000,0.7673,0.4673,46.73%,87225.03,87075.35,4.9
trade_39,1766115728000,2025-12-19T03:42:08.000Z,0xf4b2a8d3588f0e,YES,BUY,0.3800,10,3.8000,0.6669,0.2869,28.69%,87138.96,87075.35,2.9
trade_40,1766115788000,2025-12-19T03:43:08.000Z,0xf4b2a8d3588f0e,NO,BUY,0.5400,10,5.4000,0.7070,0.1670,16.70%,87008.16,87075.35,1.9
trade_41,1766115847000,2025-12-19T03:44:07.000Z,0xf4b2a8d3588f0e,YES,BUY,0.0900,10,0.9000,0.3415,0.2515,25.15%,87041.93,87075.35,0.9
trade_42,1766118668000,2025-12-19T04:31:08.000Z,0xf00e5f6a2fff00,YES,BUY,0.5400,10,5.4000,0.6919,0.1519,15.19%,87130.72,86986.21,13.9
