marketId,outcome,finalBtcPrice,strikePrice,priceDiff,priceDiffPct,yesShares,noShares,yesCost,noCost,totalCost,yesPayout,noPayout,totalPayout,pnl,roi
0x090badadd74488,DOWN,84979.26,85108.33,-129.07,-0.1517%,10,0,3.8000,0.0000,3.8000,0.0000,0.0000,0.0000,-3.8000,-100.00%
0x52ed3bffadf83c,DOWN,84582.65,84967.73,-385.08,-0.4532%,10,0,4.9000,0.0000,4.9000,0.0000,0.0000,0.0000,-4.9000,-100.00%
0x8da591c9e87610,DOWN,85315.86,85411.97,-96.11,-0.1125%,10,0,6.2000,0.0000,6.2000,0.0000,0.0000,0.0000,-6.2000,-100.00%
0x019400f040552e,UP,85630.95,85249.39,381.56,0.4476%,10,0,6.4000,0.0000,6.4000,10.0000,0.0000,10.0000,3.6000,56.25%
0x88f999056e9fdc,UP,85500.01,85335.44,164.57,0.1929%,40,0,15.1000,0.0000,15.1000,40.0000,0.0000,40.0000,24.9000,164.90%
0x9430688c7e5890,UP,85588.11,85452.87,135.24,0.1583%,30,0,18.8000,0.0000,18.8000,30.0000,0.0000,30.0000,11.2000,59.57%
0x95a900e1932461,DOWN,85493.48,85572.85,-79.37,-0.0927%,10,0,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,-3.0000,-100.00%
0x045ce0cf904867,UP,85516.41,85432.72,83.69,0.0980%,30,0,14.0000,0.0000,14.0000,30.0000,0.0000,30.0000,16.0000,114.29%
0x143fe2634280b0,DOWN,85420.42,85444.74,-24.32,-0.0285%,50,0,15.9000,0.0000,15.9000,0.0000,0.0000,0.0000,-15.9000,-100.00%
0xb8eb698406edd0,DOWN,85300.33,85372.35,-72.02,-0.0844%,20,10,6.0000,5.6000,11.6000,0.0000,10.0000,10.0000,-1.6000,-13.79%
0x2d62107b52fe71,UP,85320.43,85288.59,31.84,0.0373%,40,0,17.5000,0.0000,17.5000,40.0000,0.0000,40.0000,22.5000,128.57%
0x41a5ce73ab3199,DOWN,85234.01,85279.76,-45.75,-0.0537%,30,0,5.5000,0.0000,5.5000,0.0000,0.0000,0.0000,-5.5000,-100.00%
0xcfc42653a68f30,UP,85603.27,85471.76,131.51,0.1539%,60,0,22.4000,0.0000,22.4000,60.0000,0.0000,60.0000,37.6000,167.86%
0xa37b979447eb9b,UP,86361.99,85595.78,766.21,0.8951%,20,0,11.2000,0.0000,11.2000,20.0000,0.0000,20.0000,8.8000,78.57%
0xe1e6cf9882fb31,UP,87146.04,86311.51,834.53,0.9669%,40,0,16.7000,0.0000,16.7000,40.0000,0.0000,40.0000,23.3000,139.52%
0xf4b2a8d3588f0e,DOWN,87041.93,87075.35,-33.42,-0.0384%,60,20,21.7000,10.5000,32.2000,0.0000,20.0000,20.0000,-12.2000,-37.89%
